,RMSE,MAE
Decision Tree,4654.416118998238,2732.1950848992506
Random Forest,4774.051800058997,2705.848231215783
Polynomial Regression,4801.234049648948,2903.1375258939124
KNN Regression,5395.006663609173,3369.481407504042
Linear Regression,5803.762514494929,3987.9628476976354
Ridge Regression,5805.960098159319,5805.960098159319
ElasticNet,5813.200838041665,3995.294570017985
Lasso Regression,5817.42751939101,3998.310202780614
SVR,11865.383642910178,7418.021380935907
